"VIQ", "PIQ"

 6.0,  6.333
 7.0,  9.333
 7.5,  6.333
 8.5, 10.333
 8.5, 12.333
 9.0,  7.0
 9.0,  8.667
 9.0,  9.333
 9.0, 10.667
 9.5,  8.0
 9.5,  8.333
 9.5,  8.667
 9.5, 10.0
 9.5, 10.667
10.0,  6.667
10.0,  9.0
10.0,  9.667
10.0,  9.667
10.0, 10.0
10.0, 10.0
10.0, 10.667
10.0, 12.0
10.0, 12.333
10.5,  7.667
10.5,  8.333
10.5,  9.0
10.5,  9.0
10.5, 10.0
10.5, 10.0
10.5, 10.667
10.5, 12.0
11.0,  9.667
11.0, 10.0
11.0, 10.0
11.0, 10.667
11.0, 10.667
11.0, 10.667
11.0, 12.333
11.0, 12.333
11.0, 13.333
11.5,  6.667
11.5,  7.333
11.5,  7.667
11.5,  7.667
11.5,  8.0
11.5,  8.333
11.5,  9.0
11.5,  9.0
11.5,  9.333
11.5, 10.0
11.5, 10.0
11.5, 10.0
11.5, 10.0
11.5, 10.333
11.5, 11.0
11.5, 11.333
11.5, 11.667
11.5, 12.0
11.5, 12.333
11.5, 14.667
11.5, 15.0
12.0,  8.333
12.0,  9.0
12.0,  9.0
12.0,  9.0
12.0,  9.0
12.0, 10.333
12.0, 10.333
12.0, 10.667
12.0, 10.667
12.0, 10.667
12.0, 11.667
12.0, 13.333
12.0, 13.333
12.5,  7.333
12.5,  9.0
12.5,  9.0
12.5,  9.333
12.5, 10.0
12.5, 10.333
12.5, 10.333
12.5, 10.667
12.5, 11.333
12.5, 12.0
12.5, 13.333
12.5, 14.0
12.5, 14.0
13.0,  9.333
13.0,  9.333
13.0,  9.667
13.0, 10.0
13.0, 10.333
13.0, 10.333
13.0, 10.333
13.0, 10.667
13.0, 11.333
13.0, 11.667
13.0, 12.0
13.0, 13.0
13.0, 13.0
13.0, 13.667
13.0, 14.0
13.0, 15.333
13.5, 10.0
13.5, 12.333
13.5, 12.667
13.5, 14.0
13.5, 14.667
14.0, 10.667
14.0, 11.333
14.0, 15.667
14.0, 16.0
14.0, 17.333
14.5, 14.333
14.5, 16.667
15.0, 11.333
15.0, 11.667
15.5, 10.667
15.5, 11.0
16.0, 11.667

